Mass/ECT [m^-1],Mass/FCT [mm^2/Pa],d1 [mm],d2 [mm],d3 [mm],d4 [mm],d5 [mm],X5,X6,w1,w2,r1 [mm],r2 [mm],ECT [m^3 x 10^-6],Mass [mm^2],FCT [Pa],Inc_bin
264.80950673853454,9.542396762519897e-06,0.15058469376095351,4.723179309729711,0.9290886402876297,9.798862010984177,1.135677060641401,0.550240417873989,0.8337744058998706,2.589843396684947,22.5337552140243,0.08689040253541061,0.14331033785283903,264.80950673853454,9.542396762519897e-06,2769207.663985094,0
259.34455655438484,9.614454117724229e-06,1.0142580161078296,3.9547963553061782,3.6422283055495965,8.894643055012963,2.783043971693467,0.5527125603532131,0.6830810408069818,2.62653221004839,6.399660331834849,1.9367253763804342,2.657362792828523,259.34455655438484,9.614454117724229e-06,3226464.500762918,0
261.76469127256536,9.568026828384817e-06,0.1,4.418469196785542,3.5324877063136713,9.390537898267679,2.2928983559481075,0.6203082942234591,0.8329081399626477,4.032005676872144,22.363294530692222,0.5706107136180618,0.5706107136180618,261.76469127256536,9.568026828384817e-06,2721886.4952492537,0
264.43628749712775,9.546242668800852e-06,0.23259308674215895,4.889551039892876,1.2886336083371108,10.0,0.957920648577057,0.6320942951252437,0.8701086696753805,4.379236893766212,31.052397490551957,0.18914150558894158,0.18914150558894158,264.43628749712775,9.546242668800852e-06,2704679.723940995,0
254.64791984998865,9.718588155562045e-06,1.195338295859883,2.5908677419685584,5.7421859927539165,7.005669682581479,5.248883433602162,0.3498327026115533,0.4544038897214368,1.2444059590813716,1.6541951397503911,4.029180479695461,6.977514975707051,254.64791984998865,9.718588155562045e-06,4191804.4445795985,0
258.7578813119295,9.621179967026661e-06,1.0564676524135583,3.936772910854593,3.8787598864446995,8.115457329118799,3.0948374528229055,0.5651059128611345,0.7008896465727736,2.8235357971457034,7.359363709451909,2.3221320761190487,3.5444507779471763,258.7578813119295,9.621179967026661e-06,3245734.1916758497,0
259.59203129431467,9.60539448893845e-06,0.7404946074434601,3.514441960680662,3.3772628959647397,7.786531338927581,3.4390794582094,0.4107208315298904,0.6124205799117879,1.434868971070215,3.8197244014672074,1.2672367280434749,2.525092409538626,259.59203129431467,9.60539448893845e-06,3286975.1485495055,0
246.61740481440506,9.98572358221613e-06,2.2235024625039808,0.31482625442159984,9.37947280563985,2.37120069888621,9.420621589263957,0.0,0.019661216919629965,1.0,1.002034956881939,3.9583070714314337,4.083516715776689,246.61740481440506,9.98572358221613e-06,18676639.308833543,0
260.0137093061614,9.597751828567532e-06,0.9844837352717768,4.685003519047212,2.619681327307469,7.95509015699893,2.631654622084061,0.5798276504835611,0.7028299371877755,3.0885890295365073,7.4737099619728955,1.7026208825297826,3.7788056284160016,260.0137093061614,9.597751828567532e-06,3220425.2345418045,0
245.72791422576614,1.0026340752933835e-05,1.7912143746635776,0.3346399065929454,8.487148516752082,1.1737616308365928,10.0,0.0,0.0,1.0,1.0,3.9736171532651885,4.093888383260781,245.72791422576614,1.0026340752933835e-05,20080675.364586834,0
255.77207624529018,9.688257260746915e-06,1.4959942309000098,2.8974249543080903,5.35953439023409,6.899792436097606,4.761740683870117,0.28372681327245325,0.45548947802219003,1.1286228541501815,1.6608431205903245,3.225410383869985,6.857566014299404,255.77207624529018,9.688257260746915e-06,3873339.966866168,0
