x y
0.519259 2.055325
0.523624 2.048476
0.528005 2.041587
0.532400 2.034659
0.536811 2.027691
0.541237 2.020684
0.545679 2.013636
0.550136 2.006549
0.554608 1.999422
0.559096 1.992254
0.563600 1.985047
0.568120 1.977799
0.572655 1.970510
0.577206 1.963182
0.581773 1.955812
0.586356 1.948402
0.590955 1.940951
0.595571 1.933460
0.600202 1.925927
0.604850 1.918353
0.609515 1.910738
0.614195 1.903082
0.618893 1.895384
0.623607 1.887645
0.628338 1.879865
0.633085 1.872042
0.637850 1.864178
0.642631 1.856271
0.647429 1.848323
0.652245 1.840332
0.657078 1.832299
0.661928 1.824224
0.666795 1.816106
0.671680 1.807945
0.676582 1.799742
0.681503 1.791495
0.686440 1.783206
0.691396 1.774873
0.696369 1.766497
0.701361 1.758077
0.706371 1.749614
0.711398 1.741107
0.716444 1.732556
0.721509 1.723961
0.726591 1.715322
0.731693 1.706638
0.736813 1.697910
0.741951 1.689138
0.747109 1.680320
0.752285 1.671458
0.757481 1.662550
0.762695 1.653597
0.767929 1.644599
0.773182 1.635555
0.778455 1.626465
0.783746 1.617330
0.789058 1.608148
0.794389 1.598921
0.799740 1.589646
0.805111 1.580325
0.810502 1.570958
0.815913 1.561543
0.821345 1.552082
0.826797 1.542573
0.832269 1.533016
0.837761 1.523412
0.843275 1.513760
0.848809 1.504060
0.854364 1.494312
0.859940 1.484515
0.865537 1.474670
0.871155 1.464776
0.876795 1.454833
0.882456 1.444841
0.888138 1.434799
0.893843 1.424708
0.899569 1.414567
0.905317 1.404376
0.911087 1.394135
0.916879 1.383843
0.922693 1.373501
0.928530 1.363108
0.934389 1.352663
0.940271 1.342168
0.946176 1.331621
0.952101 1.321029
0.958014 1.310469
0.963909 1.299961
0.969784 1.289503
0.975641 1.279098
0.981478 1.268743
0.987297 1.258438
0.993098 1.248184
0.998880 1.237981
1.004644 1.227827
1.010389 1.217724
1.016117 1.207670
1.021827 1.197665
1.027518 1.187710
1.033192 1.177804
1.038849 1.167946
1.044488 1.158137
1.050109 1.148377
1.055714 1.138665
1.061301 1.129001
1.066871 1.119385
1.072425 1.109817
1.077961 1.100296
1.083481 1.090822
1.088984 1.081396
1.094471 1.072017
1.099941 1.062684
1.105395 1.053398
1.110833 1.044159
1.116255 1.034966
1.121661 1.025819
1.127052 1.016718
1.132426 1.007662
1.137785 0.998653
1.143128 0.989689
1.148456 0.980770
1.153769 0.971896
1.159066 0.963067
1.164349 0.954283
1.169616 0.945544
1.174868 0.936850
1.180106 0.928199
1.185329 0.919593
1.190537 0.911031
1.195731 0.902513
1.200911 0.894039
1.206076 0.885609
1.211227 0.877222
1.216363 0.868878
1.221486 0.860578
1.226595 0.852320
1.231690 0.844106
1.236771 0.835935
1.241839 0.827806
1.246893 0.819720
1.251934 0.811677
1.256961 0.803675
1.261975 0.795717
1.266976 0.787800
1.271964 0.779925
1.276939 0.772092
1.281901 0.764301
1.286850 0.756551
1.291787 0.748843
1.296710 0.741177
1.301622 0.733551
1.306520 0.725967
1.311407 0.718424
1.316281 0.710922
1.321143 0.703461
1.325993 0.696041
1.330831 0.688662
1.335657 0.681323
1.340471 0.674024
1.345274 0.666766
1.350064 0.659549
1.354844 0.652371
1.359611 0.645234
1.364368 0.638136
1.369112 0.631079
1.373846 0.624062
1.378569 0.617084
1.383280 0.610146
1.387981 0.603248
1.392670 0.596389
1.397349 0.589569
1.402017 0.582789
1.406675 0.576049
1.411322 0.569347
1.415958 0.562685
1.420584 0.556062
1.425199 0.549478
1.429805 0.542933
1.434400 0.536427
1.438985 0.529959
1.443560 0.523531
1.448125 0.517141
1.452681 0.510790
1.457226 0.504477
1.461762 0.498203
1.466288 0.491967
1.470805 0.485770
1.475313 0.479611
1.479811 0.473491
1.484299 0.467409
1.488779 0.461365
1.493249 0.455359
1.497710 0.449392
1.502162 0.443462
1.506606 0.437571
1.511040 0.431717
1.515466 0.425902
1.519883 0.420124
1.524292 0.414385
1.528692 0.408683
1.533084 0.403019
1.537467 0.397393
1.541842 0.391805
1.546209 0.386255
1.550567 0.380742
1.554918 0.375267
1.559260 0.369830
1.563595 0.364431
1.567922 0.359069
