x y
1.386542 0.411633
1.397208 0.417900
1.407874 0.424212
1.418539 0.430570
1.429205 0.436972
1.439871 0.443420
1.450537 0.449913
1.461202 0.456451
1.471868 0.463034
1.482534 0.469661
1.493199 0.476333
1.503865 0.483050
1.514531 0.489812
1.525197 0.496618
1.535862 0.503468
1.546528 0.510364
1.557194 0.517303
1.567859 0.524287
1.578525 0.531314
1.589191 0.538386
1.599857 0.545503
1.610522 0.552663
1.621188 0.559867
1.631854 0.567115
1.642519 0.574406
1.653185 0.581742
1.663851 0.589121
1.674517 0.596544
1.685182 0.604010
1.695848 0.611519
1.706514 0.619072
1.717179 0.626669
1.727845 0.634308
1.738511 0.641991
1.749176 0.649716
1.759842 0.657485
1.770508 0.665296
1.781174 0.673151
1.791839 0.681048
1.802505 0.688988
1.813171 0.696970
1.823836 0.704995
1.834502 0.713062
1.845168 0.721172
1.855834 0.729324
1.866499 0.737518
1.877165 0.745754
1.887831 0.754032
1.898496 0.762353
1.909162 0.770715
1.919828 0.779118
1.930494 0.787564
1.941159 0.796051
1.951825 0.804580
1.962491 0.813150
1.973156 0.821761
1.983822 0.830414
1.994488 0.839108
2.005154 0.847843
2.015819 0.856619
2.026485 0.865437
2.037151 0.874294
2.047816 0.883193
2.058482 0.892132
2.069148 0.901112
2.079813 0.910133
2.090479 0.919193
2.101145 0.928295
2.111811 0.937436
2.122476 0.946617
2.133142 0.955839
2.143808 0.965100
2.154473 0.974402
2.165139 0.983743
2.175805 0.993124
2.186471 1.002544
2.197136 1.012004
2.207802 1.021503
2.218468 1.031042
2.229133 1.040620
2.239799 1.050237
2.250465 1.059892
2.261131 1.069587
2.271796 1.079321
2.282462 1.089093
2.293128 1.098905
2.303793 1.108754
2.314459 1.118642
2.325125 1.128569
2.335791 1.138533
2.346456 1.148536
2.357122 1.158577
2.367788 1.168656
2.378453 1.178772
2.389119 1.188927
2.399785 1.199119
2.410451 1.209348
2.421116 1.219615
2.431782 1.229920
2.442448 1.240261
2.453113 1.250640
2.463779 1.261056
2.474445 1.271509
2.485110 1.281998
2.495776 1.292525
2.506442 1.303088
2.517108 1.313687
2.527773 1.324323
2.538439 1.334995
2.549105 1.345704
2.559770 1.356448
2.570436 1.367229
2.581102 1.378045
2.591768 1.388897
2.602433 1.399785
2.613099 1.410709
2.623765 1.421667
2.634430 1.432662
2.645096 1.443691
2.655762 1.454756
2.666428 1.465855
2.677093 1.476990
2.687759 1.488159
2.698425 1.499363
2.709090 1.510602
2.719756 1.521875
2.730422 1.533183
2.741088 1.544524
2.751753 1.555900
2.762419 1.567310
2.773085 1.578754
2.783750 1.590232
2.794416 1.601743
2.805082 1.613288
2.815747 1.624866
2.826413 1.636478
2.837079 1.648123
2.847745 1.659801
2.858410 1.671512
